LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID5700,5700,0,27.82582474,19.57324308,25.7033247,0,10,2,0.65,1,,420.1007752,351,174,1070,54193,206.4801309,0.32590709,1.000197874
ID5828,5828,0,24.70185471,18.92797133,26.02596057,0,65,13,0.65,1,,397.9689922,327,166,1028,51338,201.5622166,0.286622457,0.879689063
ID6020,6020,0,22.8892231,18.60533545,25.91841528,0,115,23,0.65,1,,401.0077519,352,163,943,51730,175.3551974,0.336029734,1.150338635
ID6148,6148,0,23.19616508,18.39024487,26.13350586,0,155,31,0.65,1,,429.1937984,384,172,1038,55366,173.1584389,0.290009418,1.114445906
ID6085,6085,0,17.39982796,18.28269958,25.81086999,0,140,28,0.65,1,,415.5348837,411,198,921,53604,133.9502617,0.223917663,1.135089399
ID5897,5897,0,21.49373436,19.2506072,25.81086999,0,85,17,0.65,1,,396.3023256,358,154,879,51123,162.1610217,0.27563848,1.056142159
ID5773,5773,0,26.63818932,18.92797133,25.81086999,0,60,12,0.65,1,,408.7131783,364,144,1149,52724,206.2561057,0.306919193,0.930715904
ID5967,5967,0,35.98730087,18.92797133,25.59577941,0,105,21,0.65,1,,456.9689922,347,180,1262,58949,261.2275091,0.401749143,1.002726465
ID5652,5652,0,31.52901459,19.2506072,25.59577941,0,20,4,0.65,1,,438.627907,341,162,1213,56583,232.2833019,0.371572332,1.023134941
ID6037,6037,0,22.62394142,18.39024487,26.02596057,0,120,24,0.65,1,,401.7286822,358,174,967,51823,174.5708914,0.28625436,1.024274253
ID5846,5846,0,25.4338398,18.82042603,26.02596057,0,70,14,0.65,1,,422.496124,380,162,903,54502,181.5511775,0.316866255,1.119922517
ID6102,6102,0,20.34124565,17.9600637,26.24105116,0,145,29,0.65,1,,411.5891473,387,175,893,53095,143.3835336,0.241269983,1.11591643
ID5720,5720,0,28.71177864,19.14306191,25.7033247,0,25,5,0.65,1,,421.8449612,337,170,1205,54418,217.4278778,0.349618415,1.005196433
ID5592,5592,0,27.2629261,19.46569778,25.59577941,0,5,1,0.65,1,,403.1937984,338,180,910,52012,193.5207546,0.326429605,1.025466845
ID5913,5913,0,28.73003387,18.82042603,25.59577941,0,90,18,0.65,1,,450.1860465,406,165,891,58074,189.3143371,0.342805118,1.214151357
ID5792,5792,0,28.44356918,19.03551662,25.7033247,0,55,11,0.65,1,,416.8062016,335,144,1173,53768,222.2728151,0.320684656,0.91066127
ID5985,5985,0,32.40342712,18.82042603,25.59577941,0,110,22,0.65,1,,445.0542636,364,157,1299,57412,237.2115126,0.398165369,1.06859255
ID5666,5666,0,28.11959648,18.92797133,25.81086999,0,35,7,0.65,1,,421.2015504,354,175,960,54335,200.4912864,0.317526255,1.012616074
ID6054,6054,0,22.50788116,18.49779016,26.02596057,0,125,25,0.65,1,,409.4031008,376,169,1024,52813,180.7281937,0.270742511,0.965281781
ID5864,5864,0,24.88403511,18.82042603,25.81086999,0,80,16,0.65,1,,415.4341085,370,176,922,53591,166.993911,0.316586188,1.19639387
ID6120,6120,0,19.23866653,18.39024487,25.91841528,0,150,30,0.65,1,,395.9069767,386,184,753,51072,135.2727824,0.235930315,1.11738411
ID5737,5737,0,27.25748062,19.03551662,25.81086999,0,50,10,0.65,1,,406.744186,328,125,1165,52470,219.3839485,0.316211994,0.890838536
ID5930,5930,0,28.90202904,18.82042603,25.7033247,0,95,19,0.65,1,,451.9844961,427,174,1103,58306,191.8698283,0.376705657,1.289163177
ID5611,5611,0,28.72864532,19.35815249,25.7033247,0,15,3,0.65,1,,427.372093,343,191,1164,55131,212.6517131,0.342635352,1.025749612
ID5680,5680,0,27.00788498,19.03551662,25.91841528,0,30,6,0.65,1,,401.4108527,329,155,987,51782,200.1576961,0.315920541,0.96293065
ID5810,5810,0,27.46918106,19.03551662,25.81086999,0,45,9,0.65,1,,414.5813953,336,160,1076,53481,217.1394173,0.31225578,0.908642671
ID6005,6005,0,19.44934845,18.49779016,26.02596057,0,130,26,0.65,1,,376.2248062,344,170,919,48533,167.514796,0.213068876,0.78896694
ID5878,5878,0,20.77853394,18.60533545,26.13350586,0,75,15,0.65,1,,377.3333333,334,147,949,48676,177.2208339,0.237081161,0.816092233
ID6070,6070,0,20.51763725,18.49779016,25.7033247,0,135,27,0.65,1,,417.3410853,375,165,911,53837,169.1563393,0.304449743,1.151651609
ID5754,5754,0,28.3278923,18.92797133,25.81086999,0,40,8,0.65,1,,424.5426357,350,144,1015,54766,212.702257,0.326601848,0.982782125
ID5949,5949,0,37.27335739,18.71288074,25.59577941,0,100,20,0.65,1,,502.3953488,440,160,1320,64809,270.8881059,0.42193793,1.10066105
ID5630,5630,0,22.66397858,19.46569778,25.48823411,0,0,0,0.65,1,,370.6511628,314,167,843,47814,161.7073288,0.284173617,1.014438378
ID5954,5954,1,118.3345032,18.28269958,5.592355164,0,105,21,0.65,1,,1012.24031,530,192,5078,130579,1107.68725,0.654043657,0.722696975
ID5636,5636,1,88.05075073,18.28269958,5.484809873,0,20,4,0.65,1,,796.255814,415,181,3580,102717,784.5486987,0.592248288,0.75501526
ID6150,6150,1,99.27097321,18.17515428,5.699900456,0,165,33,0.65,1,,901.4031008,559,183,3994,116281,852.6321334,0.636072307,0.822036954
