LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID11905,11905,0,40.34466553,4.409356957,0,0,15,3,0.65,1,,479.5193798,299,0,1828,61858,429.1308458,0.451543157,0.695209566
ID11796,11796,0,37.01242447,4.409356957,0,0,20,4,0.65,1,,461.6124031,299,0,1871,59548,433.3527596,0.442543174,0.653570927
ID11879,11879,0,38.42134476,4.516902248,0,0,5,1,0.65,1,,480.7751938,339,0,1483,62020,368.0984974,0.460794494,0.823998006
ID11849,11849,0,51.93801498,4.62444754,0,0,25,5,0.65,1,,564.2713178,327,0,2352,72791,550.4655665,0.558474209,0.734668325
ID11769,11769,0,28.5896225,4.62444754,0,0,30,6,0.65,1,,394.627907,285,0,1594,50907,341.2001582,0.438202065,0.704795427
ID11741,11741,0,46.03656006,4.409356957,0,0,10,2,0.65,1,,509.5426357,313,0,1743,65731,446.2130938,0.498590156,0.759852049
ID11937,11937,1,29.134552,12.26016325,9.24889508,0,40,8,0.65,1,,398.0155039,311,138,1078,51344,231.6054695,0.329040459,0.850926941
ID11825,11825,1,31.94715691,12.69034441,8.60362333,0,0,0,0.65,1,,404.3565891,300,166,1196,52162,251.0467088,0.355388774,0.844655879
ID11906,11906,1,44.94896698,12.7978897,8.60362333,0,15,3,0.65,1,,500.7364341,331,155,1679,64595,370.0409082,0.42634069,0.808952389
ID11797,11797,1,30.05905533,12.36770854,8.926259205,0,20,4,0.65,1,,385.5503876,294,146,1040,49736,232.2092255,0.354553106,0.869194416
ID11880,11880,1,39.21392441,12.69034441,8.926259205,0,5,1,0.65,1,,466.496124,348,159,1315,60178,294.4960506,0.408948887,0.919543656
ID11851,11851,1,33.21518326,12.26016325,9.24889508,0,25,5,0.65,1,,405.3255814,276,126,1279,52287,275.057811,0.376582442,0.80624655
ID11771,11771,1,30.29685211,12.47525383,9.356440371,0,30,6,0.65,1,,380.3953488,272,129,1240,49071,248.5953168,0.376853239,0.837638928
ID12013,12013,1,44.88080215,12.26016325,9.24889508,0,45,9,0.65,1,,525.6124031,395,173,1633,67804,351.8430116,0.416896042,0.879096308
ID11743,11743,1,51.75075912,12.90543499,8.60362333,0,10,2,0.65,1,,539.4883721,328,164,2038,69594,448.3508517,0.453455608,0.750804887
ID11744,11744,2,56.55027771,17.85251841,9.463985663,0,10,2,0.65,1,,919.379845,798,348,2291,118600,410.2533553,0.329984612,1.112038707
ID11938,11938,2,48.80256653,17.85251841,9.894166829,0,40,8,0.65,1,,851.0387597,809,357,1837,109784,286.47315,0.339176463,1.504815692
ID11907,11907,2,61.42041016,17.85251841,9.141349788,0,15,3,0.65,1,,938.1162791,867,271,2434,121017,446.8582274,0.386429449,1.170278835
ID12037,12037,2,27.03128815,18.92797133,10.64698387,0,60,12,0.65,1,,542.496124,533,271,967,69982,156.770589,0.285886166,1.538695424
ID11718,11718,2,54.66013718,17.85251841,10.2168027,0,35,7,0.65,1,,884.3333333,798,277,1937,114079,334.8136453,0.368094062,1.421299801
ID12134,12134,2,38.85511017,16.99215608,11.07716504,0,85,17,0.65,1,,497.2945736,312,161,2237,64151,439.952224,0.284571804,0.500808487
ID12231,12231,2,30.65187645,16.99215608,10.86207445,0,100,20,0.65,1,,469.6356589,322,168,1785,60583,357.7523353,0.244826549,0.51636673
ID11881,11881,2,37.00291061,17.85251841,9.24889508,0,5,1,0.65,1,,743.8062016,682,383,2027,95951,293.9678202,0.249912512,1.01180864
ID12107,12107,2,33.60564041,17.42233724,10.86207445,0,75,15,0.65,1,,522.744186,401,171,1578,67434,331.4891184,0.234242782,0.598570834
ID11852,11852,2,37.1666832,17.9600637,9.463985663,0,25,5,0.65,1,,826.0775194,838,356,1525,106564,245.1787808,0.264302769,1.408700089
ID12173,12173,2,28.89067268,17.31479195,10.86207445,0,80,16,0.65,1,,520.9612403,411,171,1600,67204,326.2878188,0.174270138,0.473903053
ID12365,12365,2,37.90716934,17.31479195,10.2168027,0,120,24,0.65,1,,667.4418605,649,221,1282,86100,251.857906,0.318254295,1.279566694
ID12014,12014,2,52.92147064,17.63742783,10.00171212,0,45,9,0.65,1,,899.6899225,887,213,1727,116060,310.7329993,0.370210825,1.564577909
ID11824,11824,2,48.96762085,18.49779016,8.388532747,0,0,0,0.65,1,,652.6124031,487,177,3767,84187,621.4435351,0.381675313,0.580191975
ID12308,12308,2,35.80531311,17.31479195,10.2168027,0,115,23,0.65,1,,574.5968992,530,218,1475,74123,280.960699,0.287963531,0.914495606
ID11989,11989,2,29.19422722,18.82042603,10.86207445,0,55,11,0.65,1,,591.6589147,543,264,1186,76324,217.0593415,0.214123793,0.961445972
ID11798,11798,2,59.47478485,17.9600637,9.141349788,0,20,4,0.65,1,,902.5813953,821,264,2429,116433,435.1749953,0.405035553,1.195799237
ID12279,12279,2,26.68183708,17.20724666,10.00171212,0,110,22,0.65,1,,492.8837209,456,211,1013,63582,208.3187772,0.233770879,0.896606634
ID11772,11772,2,35.00120926,17.9600637,9.894166829,0,30,6,0.65,1,,799.5426357,753,330,1892,103141,270.5353202,0.241674459,1.150457707
ID11965,11965,2,64.39250183,17.9600637,10.10925741,0,50,10,0.65,1,,998.0852713,890,310,2036,128753,415.3913823,0.318289193,1.160249423
