LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID8192,8192,0,88.82765961,20.21851483,4.947083415,0,30,6,0.65,1,,794.1550388,492,148,3609,102446,736.559161,0.670856174,0.865800852
ID8387,8387,0,53.73656082,20.21851483,5.592355164,0,80,16,0.65,1,,598.5426357,506,202,1465,77212,321.6400601,0.554403692,1.327447174
ID8324,8324,0,73.77832031,20.11096953,5.592355164,0,65,13,0.65,1,,718.0775194,529,153,2358,92632,516.9667635,0.617717365,1.060781327
ID8261,8261,0,92.99958038,20.11096953,5.377264581,0,55,11,0.65,1,,832.3643411,515,150,3148,107375,719.8151123,0.666954278,0.925326237
ID8520,8520,0,59.25920868,19.89587895,5.162173998,0,145,29,0.65,1,,618.2945736,492,167,1990,79760,401.4523517,0.575466238,1.125128622
ID8137,8137,0,58.13427734,20.43360541,5.699900456,0,10,2,0.65,1,,619.5116279,484,165,1518,79917,359.4972209,0.577548498,1.261797492
ID8459,8459,0,77.80240631,20.11096953,5.377264581,0,125,25,0.65,1,,740.2325581,504,181,2961,95490,586.7277306,0.642827885,0.987334257
ID8204,8204,0,39.87617874,20.32606012,5.26971929,0,15,3,0.65,1,,482.1317829,409,168,1155,62195,237.6088034,0.492560214,1.339247052
ID8401,8401,0,76.1810379,20.21851483,5.484809873,0,105,21,0.65,1,,742.1937984,523,169,2174,95743,524.5673378,0.636365628,1.100455377
ID8338,8338,0,53.9340477,20.00342424,5.592355164,0,70,14,0.65,1,,596.6899225,490,200,1585,76973,332.722172,0.558611354,1.285490524
ID8531,8531,0,42.53751755,20.21851483,5.162173998,0,150,30,0.65,1,,514.6744186,448,164,1114,66393,255.3143027,0.496282022,1.337218938
ID8149,8149,0,52.5369339,20.11096953,4.839538123,0,25,5,0.65,1,,563.1395349,429,151,1669,72645,351.6218171,0.562254044,1.152792466
ID8278,8278,0,94.72889709,20.21851483,5.484809873,0,50,10,0.65,1,,839.3255814,496,155,3220,108273,772.5100643,0.669246475,0.871208159
ID8473,8473,0,71.96341705,20.00342424,5.377264581,0,120,24,0.65,1,,705.4031008,506,174,2722,90997,517.8296432,0.631152493,1.05419315
ID8218,8218,0,21.19586563,19.68078837,5.914991039,0,0,0,0.65,1,,356.0465116,343,166,537,45930,94.00214928,0.358290957,1.998213942
ID8412,8412,0,52.64690399,20.11096953,5.484809873,0,90,18,0.65,1,,573.8139535,484,159,1341,74022,317.4026614,0.546030809,1.27699601
ID8349,8349,0,68.44680023,20.21851483,5.377264581,0,85,17,0.65,1,,683.5658915,524,162,1915,88180,453.2715081,0.611366141,1.144350617
ID8541,8541,0,28.43284416,20.21851483,5.26971929,0,155,31,0.65,1,,414.4341085,384,193,781,53462,148.1091154,0.405366764,1.614217899
ID8164,8164,0,78.85298157,20.21851483,5.054628706,0,35,7,0.65,1,,734.4806202,505,168,2878,94748,596.3672461,0.643433014,0.964379317
ID8292,8292,0,92.88237,20.21851483,5.484809873,0,45,9,0.65,1,,827.7286822,510,146,3332,106777,762.8869997,0.66670771,0.868028169
ID8486,8486,0,80.2000351,20.21851483,5.377264581,0,130,26,0.65,1,,756.4031008,514,187,2838,97576,607.1363047,0.646889431,0.978729562
ID8231,8231,0,34.10087204,20.43360541,5.162173998,0,20,4,0.65,1,,446.6899225,414,197,881,57623,180.9032372,0.467113116,1.572346556
ID8424,8424,0,91.48658752,20.21851483,5.807445748,0,100,20,0.65,1,,824.8914729,493,179,2816,106411,699.1656327,0.664966047,0.942412041
ID8362,8362,0,78.1770401,20.11096953,5.699900456,0,95,19,0.65,1,,747.9922481,540,161,2467,96491,576.699655,0.634171587,1.006668609
ID8178,8178,0,65.7735672,20.32606012,5.807445748,0,5,1,0.65,1,,667.4883721,483,169,1846,86106,443.7709699,0.600035227,1.128137446
ID8498,8498,0,77.72220612,20.11096953,5.484809873,0,135,27,0.65,1,,725.627907,480,143,2736,93606,579.6691684,0.633323159,0.970771505
ID8307,8307,0,77.95909882,20.00342424,5.484809873,0,60,12,0.65,1,,747.0465116,540,181,2453,96369,561.873983,0.628828842,1.026586898
ID8435,8435,0,73.26487732,20.00342424,5.484809873,0,110,22,0.65,1,,723.1860465,507,172,2282,93291,514.7214321,0.629891096,1.085962089
ID8246,8246,0,94.7900238,20.21851483,5.484809873,0,40,8,0.65,1,,844.1860465,509,160,3037,108900,746.4636186,0.67271286,0.909636448
ID8374,8374,0,57.95632172,20.00342424,5.592355164,0,75,15,0.65,1,,619.0465116,506,173,1579,79857,360.9364743,0.570444696,1.245986692
ID8508,8508,0,83.90802765,20.21851483,5.377264581,0,140,28,0.65,1,,774.5271318,517,184,3226,99914,668.9292643,0.650754802,0.912895881
ID8447,8447,0,68.28309631,20.00342424,5.484809873,0,115,23,0.65,1,,674.1085271,509,173,2164,86960,471.2090539,0.610027137,1.084082039
ID8194,8194,1,23.9929657,21.07887716,8.818713913,0,30,6,0.65,1,,441.0775194,387,142,1259,56899,227.789809,0.317720837,0.933754942
ID8166,8166,1,20.47401428,21.07887716,9.141349788,0,35,7,0.65,1,,437.3023256,369,172,1266,56412,208.8749104,0.196642572,0.688079473
ID8295,8295,1,35.22387695,21.40151303,9.463985663,0,45,9,0.65,1,,560,498,212,1166,72240,236.6131468,0.355391052,1.241140726
